name,family,converged,reached_time,retries,max_attempts,f_metal,K_radial_2D,K_radial_3D,eps_a_max_2D,eps_a_max_3D,eps_a_p99_2D,A_over_lim_2D,A_over_lim_3D,eps_etable_over_nodal
s6_cell19,crown,True,4.0,4,2,0.31640625,75.33661077501108,21.72760687838517,0.07071629131230293,0.04157817111,0.045136033037629836,0.8518042219173907,0.4692170373880571,0.8156361565137419
s6_cell20,crown,True,4.0,3,2,0.3173828125,44.29083753412472,12.212467606499338,0.07766695289956807,0.047124617,0.04257697701017621,0.8621462488129154,0.4784474346902127,0.70336061291945
s6_cell21,crown,True,4.0,5,3,0.40673828125,57.3615613589877,15.663353169638592,0.09993860342834106,0.04821535581,0.04298632705902765,0.8973367124627629,0.5065693703319126,0.8190817761472006
s6_cell22,crown,True,4.0,0,1,0.248046875,35.528246662626536,26.668034841215725,0.03021175041717306,0.0335962839,0.01725315301077681,0.2646847963449013,0.18280841583139068,0.8874061150686516
s6_cell23,crown,True,4.0,0,1,0.240234375,22.160023617796288,13.019878491576469,0.029836087622672404,0.03355744909,0.016531671165213167,0.25228344876041353,0.17792880638721734,0.8912450380762558
s6_cell24,crown,True,4.0,5,2,0.328125,22.339491948194134,12.279524646754595,0.073760573594162,0.056846142,0.04167803444409012,0.8655202821869489,0.5628248337042786,0.7681789595574612
s6_cell25,crown,True,4.0,2,2,0.43359375,28.42984198370775,20.964834324582878,0.09927188400018552,0.05858699087,0.043011017142996696,0.8934142475809141,0.6760287401637233,0.8939322983938376
s6_cell26,crown,True,4.0,1,2,0.4541015625,24.510877943344507,7.897902180924289,0.09782605391200398,0.0600364573,0.04182425744508446,0.8824771007566703,0.9265630892649427,0.8034195837670557
s6_cell27,crown,True,4.0,4,2,0.349609375,12.758002745673778,9.637316231758357,0.07087963297893132,0.05997657233,0.04086292878278394,0.8413683702324297,0.5753259789396187,0.7847894147127472
s6_cell28,crown,True,4.0,5,2,0.4697265625,19.42815538734165,8.177452191268962,0.09615691689453579,0.04869889354,0.04069431777676556,0.8724750391417058,0.49439005139946257,0.8349258346031475
s6_cell29,crown,True,4.0,4,2,0.46728515625,135.1103896836181,89.94063278963986,0.09425395532159597,0.09248311752,0.042980323761519085,0.8956938478011276,0.8524851369704309,0.8805354139658013
s6_cell30,crown,True,4.0,0,1,0.2861328125,70.91683205641522,40.63294956826587,0.03266578145590234,0.03471620195,0.01838783427362043,0.31208654615935616,0.216229443808172,0.9197767489071161
s6_cell31,crown,True,4.0,2,2,0.3671875,44.44727403029364,34.59312093561279,0.08089259294368295,0.124413886,0.04361787966327419,0.8680719726819016,0.7575360972320891,0.5924247084680565
s6_cell32,crown,True,4.0,1,2,0.49755859375,88.66944548453566,55.83406914195448,0.08932694104559666,0.0829766003,0.037217964243953364,0.8764250838997321,0.7959121200891605,0.9621660411325051
s6_cell33,crown,True,4.0,1,2,0.28271484375,26.54259678981433,15.585065129289946,0.03363354823252842,0.03375727418,0.018562125505365935,0.3374432290667178,0.22638173004550383,0.8972799227085317
s6_cell34,crown,True,4.0,0,1,0.404296875,31.400251389408748,20.151283243618956,0.083271595633637,0.07172539539,0.04458235498282241,0.8501222639708951,0.6587764263265775,0.7854436861778464
s6_cell35,crown,True,4.0,0,1,0.27783203125,19.18596969606845,11.210052926706119,0.033776953430079554,0.03350535055,0.016904806821922073,0.3333116361821693,0.21946987846382163,0.8860640321807733
s6_cell36,crown,True,4.0,1,2,0.31494140625,150.2150069962259,81.01023275068572,0.0358019036446186,0.04097808988,0.020169724366664983,0.38651067087759583,0.22568634413180114,0.8671107824814099
s6_cell37,crown,True,4.0,1,2,0.41015625,160.1141262366204,97.06773073688045,0.08559160433263713,0.09277499023,0.040099286517604665,0.8337375073486183,0.8140487533980182,0.8674188684717411
s6_cell38,crown,True,4.0,1,2,0.4169921875,126.94166273555123,72.94768640907553,0.08094874064419583,0.07967981923,0.047838998934002556,0.8337019689478706,0.8126965038157425,0.8768397244337268
s6_cell39,crown,True,4.0,1,2,0.3134765625,71.89554819453576,38.880929903538444,0.037389532606199344,0.0378686436,0.021544016470948193,0.4024364447521249,0.24912047840915807,0.9103049586989334
s6_cell40,crown,True,4.0,1,2,0.314453125,51.81062756293229,28.27543978744903,0.0402461805317488,0.04046631277,0.020506660171485107,0.4040286404416839,0.25105683851471833,0.8937467680085288
s6_cell41,crown,True,4.0,2,2,0.4287109375,69.88311432213582,39.88370301488535,0.08774377186902033,0.09599243982,0.04262806919007363,0.8601057397564612,0.7168933309013744,0.8141965941223777
s6_cell42,crown,True,4.0,2,2,0.455078125,38.79917821096552,23.430767139861004,0.08690300388354116,0.07213971215,0.0405612238693822,0.8438112647697767,0.6801791016258822,0.8405657334843488
s6_cell43,crown,False,3.055,0,1,0.47265625,231.8033011927757,,0.0858240383425262,,0.041794353426743015,0.8177099275584123,,
s6_cell44,crown,True,4.0,1,2,0.3515625,130.61269277813417,56.67891449766839,0.0397607587097395,0.04167106422,0.02125311316788185,0.5286951303155005,0.2845360098451628,0.8530345991234517
s6_cell45,crown,True,4.0,4,2,0.4833984375,130.40091478544713,97.8332308443599,0.09006925283132022,0.101822522,0.04051282346634682,0.8467452300785633,0.907444216331004,0.8412333304731492
s6_cell46,crown,True,4.0,1,2,0.3544921875,72.76106803569355,22.482226034727628,0.04649855901297083,0.03669659839,0.022011746400970023,0.5728284528789579,0.31112158396877104,0.8760585561816772
s6_cell47,crown,False,2.875,0,1,0.484375,93.23692572809047,,0.09128150517203244,,0.040948646563044186,0.8372909199522103,,
s6_cell48,crown,True,4.0,0,1,0.35302734375,54.24696979764095,40.42129408383829,0.047280646737806534,0.04151785837,0.021132739829579524,0.5680463774055291,0.3171412033140618,0.8748269597577988
s6_cell49,crown,True,4.0,1,2,0.4921875,68.32616127815578,42.6304613357589,0.09091216735549654,0.08453111806,0.04022693125283932,0.8200935724083872,0.8075788375795186,0.7754127761467778
s6_cell50,crown,True,4.0,0,1,0.38037109375,243.65554235998687,91.65945548106684,0.044169616293563974,0.04531527781,0.023052594677687603,0.5657855116562861,0.31783073256477135,0.8866176383976144
s6_cell51,crown,True,4.0,14,3,0.4990234375,215.63017927771025,53.4430846760676,0.08562363175387044,0.05798714595,0.038755830433081395,0.8583327293372955,0.8688803705083522,0.7782587814042379
s6_cell52,crown,True,4.0,0,1,0.37646484375,125.51888396991482,93.05162043853845,0.04441648801816264,0.04346368227,0.024271171122218424,0.6167034955405039,0.33783297707501847,0.8714764790045336
s6_cell53,crown,True,4.0,1,2,0.38720703125,58.17077113971987,43.39277511227625,0.051140036535985256,0.04588343136,0.022989307536511627,0.7086349695639312,0.3552507663962999,0.893901642104185
s6_hand00,handmade,True,4.0,0,1,0.314453125,19.44098909625382,14.93870481941754,0.032771747659144874,0.03474014927,0.016748691384942487,0.380051376428188,0.2987384168600313,0.8796625843680713
s6_hand01,handmade,True,4.0,1,2,0.4140625,51.34657279183212,38.944152056564434,0.047870657706120374,0.04216653583,0.021254568451839706,0.794330887491265,0.4347913112712227,0.8560540556340538
s6_hand02,handmade,True,4.0,2,2,0.4609375,75.98434699925083,57.19583019244394,0.05516128370973984,0.04622495675,0.023174909225881196,0.8461629001883239,0.5246177804124094,0.8531716437212246
s6_hand03,handmade,False,2.6712,4,2,0.261474609375,228.63473104972329,,0.020634397282126845,,0.019505556693474993,0.5736302751553296,,
s6_hand04,handmade,False,2.0934,4,2,0.314208984375,280.6844909500299,,0.020756180039932765,,0.01983053748357734,0.5912784060932209,,
s6_ref,reference,True,4.0,0,1,0.248046875,35.528246662626536,26.668034841215725,0.03021175041717306,0.0335962839,0.01725315301077681,0.2646847963449013,0.18280841583139068,0.8874061150686516
